MANDT,MATNR,MAKTX,MTART,MEINS,STPRS
100,LUBE-0001,Lube Product 0001,LUBE,EA,53.87
100,LUBE-0002,Lube Product 0002,LUBE,EA,121.31
100,FEED-0003,Feed Product 0003,FEED,EA,65.49
100,SEED-0004,Seed Product 0004,SEED,EA,286.8
100,TIRE-0005,Tire Product 0005,TIRE,EA,43.82
100,HDWR-0006,Hdwr Product 0006,HDWR,EA,21.09
100,SEED-0007,Seed Product 0007,SEED,EA,98.08
100,TIRE-0008,Tire Product 0008,TIRE,EA,256.03
100,TIRE-0009,Tire Product 0009,TIRE,EA,89.92
100,LUBE-0010,Lube Product 0010,LUBE,EA,296.95
100,HDWR-0011,Hdwr Product 0011,HDWR,EA,98.82
100,TIRE-0012,Tire Product 0012,TIRE,EA,122.61
100,SEED-0013,Seed Product 0013,SEED,EA,320.63
100,FEED-0014,Feed Product 0014,FEED,EA,295.63
100,FUEL-0015,Fuel Product 0015,FUEL,EA,122.48
100,FEED-0016,Feed Product 0016,FEED,EA,402.37
100,FUEL-0017,Fuel Product 0017,FUEL,EA,50.11
100,HDWR-0018,Hdwr Product 0018,HDWR,EA,47.85
100,FUEL-0019,Fuel Product 0019,FUEL,EA,256.74
100,SEED-0020,Seed Product 0020,SEED,EA,308.65
100,TIRE-0021,Tire Product 0021,TIRE,EA,59.43
100,HDWR-0022,Hdwr Product 0022,HDWR,EA,40.47
100,FUEL-0023,Fuel Product 0023,FUEL,EA,349.71
100,TIRE-0024,Tire Product 0024,TIRE,EA,372.81
100,FUEL-0025,Fuel Product 0025,FUEL,EA,245.87
100,LUBE-0026,Lube Product 0026,LUBE,EA,36.66
100,LUBE-0027,Lube Product 0027,LUBE,EA,101.89
100,FUEL-0028,Fuel Product 0028,FUEL,EA,413.91
100,FEED-0029,Feed Product 0029,FEED,EA,364.99
100,HDWR-0030,Hdwr Product 0030,HDWR,EA,122.53
100,LUBE-0031,Lube Product 0031,LUBE,EA,351.65
100,FEED-0032,Feed Product 0032,FEED,EA,160.51
100,FEED-0033,Feed Product 0033,FEED,EA,284.11
100,LUBE-0034,Lube Product 0034,LUBE,EA,393.9
100,LUBE-0035,Lube Product 0035,LUBE,EA,37.42
100,LUBE-0036,Lube Product 0036,LUBE,EA,78.51
100,LUBE-0037,Lube Product 0037,LUBE,EA,108.86
100,HDWR-0038,Hdwr Product 0038,HDWR,EA,164.34
100,LUBE-0039,Lube Product 0039,LUBE,EA,291.52
100,FEED-0040,Feed Product 0040,FEED,EA,290.06
100,SEED-0041,Seed Product 0041,SEED,EA,102.37
100,SEED-0042,Seed Product 0042,SEED,EA,339.68
100,HDWR-0043,Hdwr Product 0043,HDWR,EA,118.31
100,FEED-0044,Feed Product 0044,FEED,EA,384.21
100,TIRE-0045,Tire Product 0045,TIRE,EA,369.06
100,FUEL-0046,Fuel Product 0046,FUEL,EA,95.6
100,HDWR-0047,Hdwr Product 0047,HDWR,EA,171.0
100,LUBE-0048,Lube Product 0048,LUBE,EA,197.05
100,FUEL-0049,Fuel Product 0049,FUEL,EA,65.53
100,LUBE-0050,Lube Product 0050,LUBE,EA,239.28
100,FUEL-0051,Fuel Product 0051,FUEL,EA,315.77
100,HDWR-0052,Hdwr Product 0052,HDWR,EA,377.9
100,HDWR-0053,Hdwr Product 0053,HDWR,EA,157.14
100,FEED-0054,Feed Product 0054,FEED,EA,217.92
100,SEED-0055,Seed Product 0055,SEED,EA,319.38
100,SEED-0056,Seed Product 0056,SEED,EA,70.97
100,FEED-0057,Feed Product 0057,FEED,EA,334.34
100,HDWR-0058,Hdwr Product 0058,HDWR,EA,253.72
100,HDWR-0059,Hdwr Product 0059,HDWR,EA,165.23
100,HDWR-0060,Hdwr Product 0060,HDWR,EA,226.0
100,TIRE-0061,Tire Product 0061,TIRE,EA,362.64
100,SEED-0062,Seed Product 0062,SEED,EA,288.28
100,SEED-0063,Seed Product 0063,SEED,EA,288.86
100,TIRE-0064,Tire Product 0064,TIRE,EA,317.36
100,LUBE-0065,Lube Product 0065,LUBE,EA,148.15
100,FUEL-0066,Fuel Product 0066,FUEL,EA,187.12
100,HDWR-0067,Hdwr Product 0067,HDWR,EA,9.34
100,LUBE-0068,Lube Product 0068,LUBE,EA,368.85
100,FUEL-0069,Fuel Product 0069,FUEL,EA,408.42
100,FEED-0070,Feed Product 0070,FEED,EA,217.16
100,SEED-0071,Seed Product 0071,SEED,EA,366.65
100,FUEL-0072,Fuel Product 0072,FUEL,EA,354.77
100,TIRE-0073,Tire Product 0073,TIRE,EA,258.9
100,FEED-0074,Feed Product 0074,FEED,EA,162.05
100,FEED-0075,Feed Product 0075,FEED,EA,230.22
100,TIRE-0076,Tire Product 0076,TIRE,EA,386.42
100,TIRE-0077,Tire Product 0077,TIRE,EA,141.55
100,SEED-0078,Seed Product 0078,SEED,EA,54.09
100,FUEL-0079,Fuel Product 0079,FUEL,EA,370.03
100,FUEL-0080,Fuel Product 0080,FUEL,EA,106.65
