MANDT,WERKS,MATNR,BUDAT,MENGE,NETWR,WAERS
100,S04,HDWR-0022,2024-01-01,14,733.63,CAD
100,S04,FUEL-0028,2024-01-01,21,9741.91,CAD
100,S03,LUBE-0050,2024-01-01,15,5217.07,CAD
100,S06,TIRE-0008,2024-01-01,22,6944.49,CAD
100,S05,SEED-0007,2024-01-01,1,128.6,CAD
100,S05,TIRE-0008,2024-01-01,20,5882.75,CAD
100,S01,TIRE-0024,2024-01-01,9,4042.03,CAD
100,S05,FEED-0016,2024-01-01,4,1945.28,CAD
100,S04,LUBE-0039,2024-01-02,25,8992.11,CAD
100,S01,SEED-0013,2024-01-02,7,2948.14,CAD
100,S03,LUBE-0065,2024-01-02,22,3731.13,CAD
100,S02,LUBE-0037,2024-01-02,22,3060.1,CAD
100,S06,FEED-0014,2024-01-02,6,2339.9,CAD
100,S03,LUBE-0035,2024-01-02,9,401.88,CAD
100,S01,FEED-0033,2024-01-02,9,3118.52,CAD
100,S03,LUBE-0001,2024-01-02,22,1656.36,CAD
100,S04,FUEL-0019,2024-01-03,14,4190.59,CAD
100,S03,FEED-0040,2024-01-03,11,4562.17,CAD
100,S06,FEED-0032,2024-01-03,11,2539.46,CAD
100,S05,HDWR-0053,2024-01-03,25,5459.88,CAD
100,S02,FEED-0029,2024-01-03,10,5160.85,CAD
100,S03,HDWR-0059,2024-01-04,13,2581.74,CAD
100,S06,SEED-0004,2024-01-04,11,3752.72,CAD
100,S03,HDWR-0043,2024-01-04,30,4331.87,CAD
100,S02,LUBE-0034,2024-01-04,19,9946.46,CAD
100,S01,LUBE-0034,2024-01-04,23,12523.01,CAD
100,S04,SEED-0041,2024-01-04,9,1232.96,CAD
100,S05,LUBE-0001,2024-01-04,24,1878.82,CAD
100,S06,FUEL-0069,2024-01-04,15,8340.51,CAD
100,S06,TIRE-0009,2024-01-04,6,783.1,CAD
100,S06,FUEL-0049,2024-01-05,16,1456.68,CAD
100,S05,FUEL-0023,2024-01-05,11,5463.01,CAD
100,S03,LUBE-0039,2024-01-05,14,4879.85,CAD
100,S01,SEED-0004,2024-01-05,5,1732.48,CAD
100,S06,FUEL-0025,2024-01-05,15,5055.16,CAD
100,S02,FEED-0029,2024-01-06,8,3758.63,CAD
100,S02,FUEL-0072,2024-01-06,7,3601.63,CAD
100,S04,HDWR-0018,2024-01-06,7,446.94,CAD
100,S06,TIRE-0021,2024-01-07,24,2039.83,CAD
100,S03,HDWR-0058,2024-01-07,18,5570.92,CAD
100,S03,LUBE-0031,2024-01-07,7,2964.73,CAD
100,S03,HDWR-0043,2024-01-07,22,3751.94,CAD
100,S02,HDWR-0011,2024-01-08,22,2554.52,CAD
100,S01,FUEL-0028,2024-01-08,23,12084.15,CAD
100,S05,HDWR-0043,2024-01-08,15,2519.72,CAD
100,S05,LUBE-0050,2024-01-08,18,6290.79,CAD
100,S05,FEED-0003,2024-01-08,6,489.85,CAD
100,S04,LUBE-0035,2024-01-08,11,560.13,CAD
100,S01,TIRE-0024,2024-01-08,21,9501.73,CAD
100,S02,SEED-0042,2024-01-09,4,1952.03,CAD
100,S04,LUBE-0036,2024-01-09,19,1806.16,CAD
100,S04,HDWR-0011,2024-01-09,26,3802.51,CAD
100,S02,TIRE-0045,2024-01-09,19,9494.8,CAD
100,S02,LUBE-0031,2024-01-09,14,7193.6,CAD
100,S06,HDWR-0060,2024-01-09,18,4931.42,CAD
100,S02,LUBE-0048,2024-01-09,3,814.96,CAD
100,S05,FEED-0014,2024-01-09,9,3628.74,CAD
100,S04,FUEL-0049,2024-01-09,18,1720.87,CAD
100,S01,LUBE-0026,2024-01-09,6,265.59,CAD
100,S03,SEED-0056,2024-01-10,7,670.08,CAD
100,S03,TIRE-0076,2024-01-10,10,4776.27,CAD
100,S05,TIRE-0073,2024-01-10,25,8806.15,CAD
100,S03,TIRE-0064,2024-01-10,20,8931.9,CAD
100,S05,LUBE-0036,2024-01-10,34,3071.93,CAD
100,S04,FEED-0029,2024-01-11,6,2911.22,CAD
100,S05,TIRE-0061,2024-01-11,12,5705.63,CAD
100,S02,FEED-0033,2024-01-11,11,3635.98,CAD
100,S03,FUEL-0025,2024-01-11,24,8228.12,CAD
100,S02,TIRE-0024,2024-01-11,23,10271.54,CAD
100,S03,SEED-0062,2024-01-11,5,1886.6,CAD
100,S02,SEED-0013,2024-01-11,1,393.3,CAD
100,S02,HDWR-0047,2024-01-11,14,2790.37,CAD
100,S01,HDWR-0006,2024-01-11,28,779.02,CAD
100,S05,LUBE-0002,2024-01-11,9,1334.56,CAD
100,S01,FUEL-0015,2024-01-12,33,5109.92,CAD
100,S05,LUBE-0010,2024-01-12,16,5576.54,CAD
100,S03,TIRE-0073,2024-01-12,16,4766.52,CAD
100,S04,HDWR-0058,2024-01-12,10,3113.26,CAD
100,S06,LUBE-0034,2024-01-12,22,11427.74,CAD
100,S01,TIRE-0021,2024-01-12,20,1506.04,CAD
100,S06,LUBE-0037,2024-01-12,18,2801.0,CAD
100,S06,LUBE-0010,2024-01-12,18,7509.06,CAD
100,S06,TIRE-0076,2024-01-12,23,12526.32,CAD
100,S05,FUEL-0015,2024-01-13,18,2680.02,CAD
100,S01,FUEL-0019,2024-01-13,21,6154.28,CAD
100,S01,FEED-0057,2024-01-13,4,1723.5,CAD
100,S06,LUBE-0039,2024-01-13,13,4981.24,CAD
100,S01,FEED-0057,2024-01-14,8,3571.54,CAD
100,S06,HDWR-0030,2024-01-14,8,1392.87,CAD
100,S05,FEED-0074,2024-01-14,17,3752.16,CAD
100,S02,HDWR-0006,2024-01-14,9,244.74,CAD
100,S03,TIRE-0061,2024-01-15,12,5037.75,CAD
100,S06,HDWR-0053,2024-01-15,21,4284.54,CAD
100,S03,SEED-0041,2024-01-15,3,379.7,CAD
100,S02,SEED-0007,2024-01-15,3,382.35,CAD
100,S01,FEED-0057,2024-01-15,6,2393.77,CAD
100,S02,SEED-0071,2024-01-15,9,4525.32,CAD
100,S01,FEED-0029,2024-01-15,7,3285.95,CAD
100,S06,FEED-0016,2024-01-16,8,4435.65,CAD
100,S04,LUBE-0036,2024-01-16,11,1050.31,CAD
100,S03,LUBE-0001,2024-01-16,28,2083.62,CAD
100,S05,HDWR-0058,2024-01-16,13,4269.27,CAD
100,S05,HDWR-0043,2024-01-16,18,3100.3,CAD
100,S05,LUBE-0031,2024-01-16,7,3120.95,CAD
100,S06,SEED-0041,2024-01-16,10,1320.85,CAD
100,S04,SEED-0020,2024-01-16,9,4076.04,CAD
100,S05,FUEL-0017,2024-01-17,24,1390.41,CAD
100,S01,SEED-0020,2024-01-17,7,2784.98,CAD
100,S03,LUBE-0034,2024-01-17,12,5430.68,CAD
100,S06,HDWR-0043,2024-01-17,13,2198.4,CAD
100,S03,FUEL-0049,2024-01-17,7,594.33,CAD
100,S01,FEED-0070,2024-01-17,3,874.47,CAD
100,S06,SEED-0013,2024-01-17,7,3082.47,CAD
100,S04,SEED-0013,2024-01-17,8,2899.58,CAD
100,S01,SEED-0042,2024-01-17,9,3746.84,CAD
100,S04,LUBE-0048,2024-01-17,23,5999.36,CAD
100,S05,HDWR-0011,2024-01-18,24,2861.9,CAD
100,S06,HDWR-0060,2024-01-18,17,4316.04,CAD
100,S03,TIRE-0076,2024-01-18,24,12520.17,CAD
100,S04,FEED-0033,2024-01-18,8,2860.4,CAD
100,S01,LUBE-0036,2024-01-18,17,1766.75,CAD
100,S05,HDWR-0030,2024-01-18,19,2766.79,CAD
100,S06,FEED-0033,2024-01-18,5,1977.42,CAD
100,S02,FEED-0054,2024-01-19,8,2502.64,CAD
100,S05,HDWR-0047,2024-01-19,29,6449.9,CAD
100,S02,LUBE-0035,2024-01-19,17,822.82,CAD
100,S01,FEED-0044,2024-01-19,6,3207.76,CAD
100,S06,FEED-0029,2024-01-19,7,3527.64,CAD
100,S05,FUEL-0051,2024-01-19,9,3197.2,CAD
100,S06,FEED-0014,2024-01-19,4,1423.96,CAD
100,S05,SEED-0004,2024-01-20,9,3741.43,CAD
100,S06,FEED-0029,2024-01-20,4,1668.38,CAD
100,S01,HDWR-0018,2024-01-20,14,978.49,CAD
100,S04,LUBE-0039,2024-01-20,21,8041.24,CAD
100,S04,LUBE-0050,2024-01-21,21,6299.01,CAD
100,S04,SEED-0020,2024-01-21,6,2510.75,CAD
100,S02,FEED-0057,2024-01-22,7,3198.94,CAD
100,S06,FEED-0070,2024-01-22,6,1627.56,CAD
100,S01,FUEL-0025,2024-01-22,30,8504.66,CAD
100,S06,FUEL-0028,2024-01-22,13,7265.29,CAD
100,S01,FEED-0003,2024-01-22,7,534.22,CAD
100,S05,LUBE-0027,2024-01-22,21,2649.54,CAD
100,S05,FUEL-0019,2024-01-22,31,8922.14,CAD
100,S06,FUEL-0015,2024-01-22,17,2981.49,CAD
100,S01,FUEL-0017,2024-01-22,10,667.46,CAD
100,S02,FEED-0003,2024-01-22,11,875.66,CAD
100,S06,FUEL-0017,2024-01-22,14,801.78,CAD
100,S03,HDWR-0058,2024-01-22,19,6289.86,CAD
100,S04,FEED-0014,2024-01-23,1,335.72,CAD
100,S06,HDWR-0059,2024-01-23,20,4270.98,CAD
100,S04,HDWR-0052,2024-01-23,17,8781.99,CAD
100,S02,TIRE-0009,2024-01-23,16,1753.81,CAD
100,S06,SEED-0013,2024-01-23,10,4604.16,CAD
100,S06,SEED-0071,2024-01-23,9,4723.99,CAD
100,S06,SEED-0041,2024-01-23,6,839.8,CAD
100,S01,TIRE-0061,2024-01-23,35,14632.32,CAD
100,S01,SEED-0056,2024-01-24,7,579.68,CAD
100,S05,TIRE-0008,2024-01-24,11,4124.19,CAD
100,S06,SEED-0055,2024-01-24,4,1454.48,CAD
100,S05,LUBE-0037,2024-01-24,16,2268.94,CAD
100,S06,SEED-0020,2024-01-24,8,3194.13,CAD
