ItemNumber,ProductName,ItemGroup,UnitOfMeasure,StandardCost
TIRE-0061,Tire Product 0061,TIRE,EA,362.64
SEED-0062,Seed Product 0062,SEED,EA,288.28
SEED-0063,Seed Product 0063,SEED,EA,288.86
TIRE-0064,Tire Product 0064,TIRE,EA,317.36
LUBE-0065,Lube Product 0065,LUBE,EA,148.15
FUEL-0066,Fuel Product 0066,FUEL,EA,187.12
HDWR-0067,Hdwr Product 0067,HDWR,EA,9.34
LUBE-0068,Lube Product 0068,LUBE,EA,368.85
FUEL-0069,Fuel Product 0069,FUEL,EA,408.42
FEED-0070,Feed Product 0070,FEED,EA,217.16
SEED-0071,Seed Product 0071,SEED,EA,366.65
FUEL-0072,Fuel Product 0072,FUEL,EA,354.77
TIRE-0073,Tire Product 0073,TIRE,EA,258.9
FEED-0074,Feed Product 0074,FEED,EA,162.05
FEED-0075,Feed Product 0075,FEED,EA,230.22
TIRE-0076,Tire Product 0076,TIRE,EA,386.42
TIRE-0077,Tire Product 0077,TIRE,EA,141.55
SEED-0078,Seed Product 0078,SEED,EA,54.09
FUEL-0079,Fuel Product 0079,FUEL,EA,370.03
FUEL-0080,Fuel Product 0080,FUEL,EA,106.65
FEED-0081,Feed Product 0081,FEED,EA,369.74
SEED-0082,Seed Product 0082,SEED,EA,43.29
HDWR-0083,Hdwr Product 0083,HDWR,EA,344.2
TIRE-0084,Tire Product 0084,TIRE,EA,323.52
FEED-0085,Feed Product 0085,FEED,EA,279.82
TIRE-0086,Tire Product 0086,TIRE,EA,76.03
TIRE-0087,Tire Product 0087,TIRE,EA,367.44
HDWR-0088,Hdwr Product 0088,HDWR,EA,405.32
TIRE-0089,Tire Product 0089,TIRE,EA,319.17
LUBE-0090,Lube Product 0090,LUBE,EA,90.87
FUEL-0091,Fuel Product 0091,FUEL,EA,172.38
LUBE-0092,Lube Product 0092,LUBE,EA,275.75
HDWR-0093,Hdwr Product 0093,HDWR,EA,378.64
HDWR-0094,Hdwr Product 0094,HDWR,EA,57.85
FEED-0095,Feed Product 0095,FEED,EA,34.38
SEED-0096,Seed Product 0096,SEED,EA,250.38
FEED-0097,Feed Product 0097,FEED,EA,250.44
SEED-0098,Seed Product 0098,SEED,EA,37.25
LUBE-0099,Lube Product 0099,LUBE,EA,32.26
SEED-0100,Seed Product 0100,SEED,EA,381.03
FUEL-0101,Fuel Product 0101,FUEL,EA,37.19
FEED-0102,Feed Product 0102,FEED,EA,122.73
HDWR-0103,Hdwr Product 0103,HDWR,EA,96.27
FEED-0104,Feed Product 0104,FEED,EA,306.02
TIRE-0105,Tire Product 0105,TIRE,EA,245.4
FEED-0106,Feed Product 0106,FEED,EA,331.26
HDWR-0107,Hdwr Product 0107,HDWR,EA,86.45
SEED-0108,Seed Product 0108,SEED,EA,279.5
FUEL-0109,Fuel Product 0109,FUEL,EA,182.51
HDWR-0110,Hdwr Product 0110,HDWR,EA,363.9
SEED-0111,Seed Product 0111,SEED,EA,285.43
LUBE-0112,Lube Product 0112,LUBE,EA,48.55
HDWR-0113,Hdwr Product 0113,HDWR,EA,308.02
SEED-0114,Seed Product 0114,SEED,EA,110.45
FEED-0115,Feed Product 0115,FEED,EA,228.95
FEED-0116,Feed Product 0116,FEED,EA,181.82
FUEL-0117,Fuel Product 0117,FUEL,EA,198.6
SEED-0118,Seed Product 0118,SEED,EA,190.57
TIRE-0119,Tire Product 0119,TIRE,EA,48.34
LUBE-0120,Lube Product 0120,LUBE,EA,419.7
