SiteId,ItemNumber,InvoiceDate,Quantity,LineAmount,CurrencyCode
S01,SEED-0108,2024-01-01,13,5179.66,CAD
S04,FUEL-0101,2024-01-01,15,771.5,CAD
S05,FUEL-0101,2024-01-01,28,1414.4,CAD
S02,SEED-0063,2024-01-01,7,2307.23,CAD
S01,TIRE-0077,2024-01-01,12,2259.35,CAD
S03,LUBE-0120,2024-01-01,13,6512.04,CAD
S03,LUBE-0092,2024-01-02,18,6759.34,CAD
S01,FEED-0097,2024-01-02,11,3643.77,CAD
S06,FEED-0070,2024-01-02,4,1225.27,CAD
S05,TIRE-0086,2024-01-02,37,3453.87,CAD
S01,FEED-0085,2024-01-02,8,2600.21,CAD
S03,SEED-0082,2024-01-02,4,225.45,CAD
S03,SEED-0082,2024-01-03,8,475.86,CAD
S01,FUEL-0072,2024-01-03,24,9879.13,CAD
S02,TIRE-0089,2024-01-03,5,2122.01,CAD
S03,FEED-0116,2024-01-03,4,869.56,CAD
S02,TIRE-0119,2024-01-03,30,2047.51,CAD
S04,HDWR-0113,2024-01-03,3,1043.19,CAD
S03,FEED-0095,2024-01-03,7,327.58,CAD
S02,FEED-0095,2024-01-03,4,167.23,CAD
S06,FUEL-0101,2024-01-03,29,1541.29,CAD
S05,HDWR-0083,2024-01-04,4,1740.12,CAD
S05,SEED-0108,2024-01-04,6,2407.73,CAD
S01,FUEL-0066,2024-01-04,11,2494.07,CAD
S03,FUEL-0080,2024-01-04,16,2464.07,CAD
S04,TIRE-0086,2024-01-04,14,1317.14,CAD
S03,LUBE-0090,2024-01-05,13,1605.84,CAD
S05,FUEL-0101,2024-01-05,13,618.38,CAD
S02,TIRE-0087,2024-01-05,14,6708.1,CAD
S06,FEED-0102,2024-01-05,7,1121.62,CAD
S05,SEED-0082,2024-01-05,8,429.67,CAD
S02,TIRE-0105,2024-01-05,15,4386.6,CAD
S05,TIRE-0061,2024-01-05,19,8744.98,CAD
S04,TIRE-0064,2024-01-05,18,6409.38,CAD
S01,LUBE-0099,2024-01-05,28,1264.8,CAD
S04,FEED-0097,2024-01-06,1,335.73,CAD
S05,HDWR-0093,2024-01-06,4,1939.44,CAD
S05,SEED-0100,2024-01-07,1,493.23,CAD
S04,FEED-0097,2024-01-08,7,2502.07,CAD
S04,HDWR-0107,2024-01-08,6,730.3,CAD
S02,FEED-0115,2024-01-08,6,1779.99,CAD
S04,HDWR-0103,2024-01-08,18,2392.57,CAD
S04,SEED-0108,2024-01-08,14,5134.97,CAD
S04,FUEL-0117,2024-01-08,8,2118.0,CAD
S01,FEED-0085,2024-01-08,9,3606.49,CAD
S06,SEED-0100,2024-01-09,7,3224.72,CAD
S01,SEED-0108,2024-01-09,7,2628.91,CAD
S02,SEED-0100,2024-01-09,2,1118.17,CAD
S03,LUBE-0090,2024-01-09,10,1295.9,CAD
S01,TIRE-0077,2024-01-10,20,3212.58,CAD
S03,FEED-0085,2024-01-10,3,961.03,CAD
S03,HDWR-0083,2024-01-10,25,11156.15,CAD
S04,HDWR-0107,2024-01-10,16,1914.58,CAD
S03,TIRE-0084,2024-01-10,10,4340.76,CAD
S05,SEED-0118,2024-01-10,7,1890.62,CAD
S01,LUBE-0120,2024-01-10,16,9335.28,CAD
S05,HDWR-0113,2024-01-10,22,9300.16,CAD
S04,HDWR-0093,2024-01-10,19,9322.83,CAD
S02,SEED-0098,2024-01-11,5,241.51,CAD
S01,FEED-0102,2024-01-11,3,424.71,CAD
S05,SEED-0096,2024-01-11,5,1524.23,CAD
S02,LUBE-0090,2024-01-11,10,1051.3,CAD
S04,SEED-0062,2024-01-12,3,1047.23,CAD
S04,FUEL-0072,2024-01-12,8,3409.33,CAD
S04,TIRE-0076,2024-01-12,14,7246.36,CAD
S02,SEED-0098,2024-01-12,10,501.08,CAD
S05,TIRE-0089,2024-01-12,16,6249.18,CAD
S03,FEED-0102,2024-01-13,2,356.32,CAD
S04,SEED-0114,2024-01-14,6,748.39,CAD
S04,TIRE-0084,2024-01-15,21,9040.8,CAD
S04,SEED-0082,2024-01-15,6,381.52,CAD
S04,FEED-0085,2024-01-15,8,2873.72,CAD
S04,LUBE-0099,2024-01-15,26,939.76,CAD
S05,LUBE-0112,2024-01-15,8,499.6,CAD
S05,FEED-0081,2024-01-15,5,2602.51,CAD
S02,FUEL-0091,2024-01-15,17,3712.53,CAD
