snapshot_date,site_id,sku,quantity_on_hand,min_level,max_level
2024-01-31,S02,LUBE-0001,114,26,183
2024-01-31,S03,LUBE-0001,0,7,129
2024-01-31,S04,LUBE-0001,147,30,190
2024-01-31,S05,LUBE-0001,64,37,81
2024-01-31,S01,LUBE-0002,70,26,184
2024-01-31,S03,LUBE-0002,84,21,118
2024-01-31,S05,LUBE-0002,119,40,181
2024-01-31,S06,LUBE-0002,75,25,92
2024-01-31,S01,FEED-0003,44,11,65
2024-01-31,S02,FEED-0003,89,38,163
2024-01-31,S03,FEED-0003,28,9,103
2024-01-31,S04,FEED-0003,116,40,152
2024-01-31,S05,FEED-0003,40,15,64
2024-01-31,S06,FEED-0003,130,37,120
2024-01-31,S02,SEED-0004,44,17,117
2024-01-31,S04,SEED-0004,6,14,81
2024-01-31,S05,SEED-0004,104,31,128
2024-01-31,S06,SEED-0004,41,13,45
2024-01-31,S03,TIRE-0005,148,15,168
2024-01-31,S05,TIRE-0005,39,9,111
2024-01-31,S06,TIRE-0005,40,21,122
2024-01-31,S02,HDWR-0006,68,34,90
2024-01-31,S03,HDWR-0006,48,40,134
2024-01-31,S04,HDWR-0006,0,10,107
2024-01-31,S05,HDWR-0006,40,34,110
2024-01-31,S06,HDWR-0006,60,27,93
2024-01-31,S01,SEED-0007,0,16,154
2024-01-31,S02,SEED-0007,148,37,183
2024-01-31,S03,SEED-0007,154,39,187
2024-01-31,S05,SEED-0007,74,33,138
2024-01-31,S06,SEED-0007,145,20,121
2024-01-31,S01,TIRE-0008,56,13,97
2024-01-31,S02,TIRE-0008,101,5,119
2024-01-31,S03,TIRE-0008,45,26,72
2024-01-31,S04,TIRE-0008,48,18,112
2024-01-31,S05,TIRE-0008,58,12,81
2024-01-31,S06,TIRE-0008,98,38,141
2024-01-31,S02,TIRE-0009,44,27,161
2024-01-31,S04,TIRE-0009,52,28,162
2024-01-31,S05,TIRE-0009,37,20,65
2024-01-31,S06,TIRE-0009,46,34,71
2024-01-31,S05,LUBE-0010,28,13,76
2024-01-31,S06,LUBE-0010,69,24,115
2024-01-31,S01,HDWR-0011,129,16,171
2024-01-31,S03,HDWR-0011,45,15,117
2024-01-31,S04,HDWR-0011,69,17,63
2024-01-31,S05,HDWR-0011,32,11,74
2024-01-31,S06,HDWR-0011,62,36,113
2024-01-31,S01,TIRE-0012,69,36,78
2024-01-31,S03,TIRE-0012,76,27,187
2024-01-31,S05,TIRE-0012,21,19,139
2024-01-31,S01,SEED-0013,57,6,78
2024-01-31,S02,SEED-0013,72,40,115
2024-01-31,S04,SEED-0013,116,39,166
2024-01-31,S05,SEED-0013,87,7,117
2024-01-31,S06,SEED-0013,49,38,147
2024-01-31,S02,FEED-0014,57,15,118
2024-01-31,S05,FEED-0014,92,15,162
2024-01-31,S01,FUEL-0015,54,15,98
2024-01-31,S03,FUEL-0015,0,29,170
2024-01-31,S04,FUEL-0015,156,13,156
2024-01-31,S05,FUEL-0015,49,13,152
2024-01-31,S06,FUEL-0015,33,26,103
2024-01-31,S01,FEED-0016,58,6,98
2024-01-31,S03,FEED-0016,23,35,179
2024-01-31,S04,FEED-0016,18,10,41
2024-01-31,S05,FEED-0016,93,39,127
2024-01-31,S06,FEED-0016,68,28,180
2024-01-31,S02,FUEL-0017,68,16,95
2024-01-31,S03,FUEL-0017,103,33,190
2024-01-31,S04,FUEL-0017,28,7,51
2024-01-31,S05,FUEL-0017,97,35,120
2024-01-31,S02,HDWR-0018,6,13,86
2024-01-31,S03,HDWR-0018,39,6,115
2024-01-31,S04,HDWR-0018,43,21,61
2024-01-31,S01,FUEL-0019,4,38,125
2024-01-31,S02,FUEL-0019,82,33,180
2024-01-31,S04,FUEL-0019,52,40,87
2024-01-31,S05,FUEL-0019,42,31,134
2024-01-31,S01,SEED-0020,125,26,153
2024-01-31,S02,SEED-0020,0,24,125
2024-01-31,S04,SEED-0020,73,36,124
2024-01-31,S06,SEED-0020,37,9,80
2024-01-31,S01,TIRE-0021,167,34,176
2024-01-31,S03,TIRE-0021,69,32,103
2024-01-31,S04,TIRE-0021,89,22,92
2024-01-31,S05,TIRE-0021,21,7,161
2024-01-31,S06,TIRE-0021,51,18,63
2024-01-31,S02,HDWR-0022,65,8,95
2024-01-31,S03,HDWR-0022,39,12,103
2024-01-31,S04,HDWR-0022,189,37,194
2024-01-31,S01,FUEL-0023,74,40,83
2024-01-31,S03,FUEL-0023,26,9,48
2024-01-31,S05,FUEL-0023,89,18,165
2024-01-31,S01,TIRE-0024,68,25,158
2024-01-31,S02,TIRE-0024,75,36,108
2024-01-31,S03,TIRE-0024,94,34,82
2024-01-31,S04,TIRE-0024,92,32,156
2024-01-31,S05,TIRE-0024,118,23,143
2024-01-31,S01,FUEL-0025,43,28,64
